VName,Filter,HJD,mag_s,mag_i,e_mag_i,Fref,e_Fref,DFlux,e_DFlux,p
"V18",I,2455783.86628,17.229,17.402,0.024,1156855.0,12990.0,-28.16,11060.0,0.4504
"V18",I,2455783.86769,17.248,17.421,0.024,1156855.0,12990.0,-36.625,10770.0,0.4495
"V18",I,2455784.78202,17.209,17.381,0.022,1156855.0,12990.0,-19.815,10915.0,0.4772
"V18",I,2455784.78331,17.249,17.422,0.023,1156855.0,12990.0,-39.12,10920.0,0.4755
"V18",I,2455784.78472,17.242,17.415,0.023,1156855.0,12990.0,-36.02,10945.0,0.478
"V18",I,2455784.78613,17.212,17.385,0.023,1156855.0,12990.0,-21.775,11015.0,0.4791
"V18",I,2455784.78754,17.226,17.399,0.023,1156855.0,12990.0,-28.335,10995.0,0.4779
"V18",I,2455784.78894,17.199,17.372,0.023,1156855.0,12990.0,-15.095,11125.0,0.4789
"V18",I,2455784.827,17.308,17.481,0.025,1156855.0,12990.0,-66.515,11185.0,0.477
"V18",I,2455784.82828,17.335,17.509,0.026,1156855.0,12990.0,-78.68,11155.0,0.4776
"V18",I,2455784.82968,17.279,17.452,0.024,1156855.0,12990.0,-53.54,11215.0,0.4774
"V18",I,2455784.8311,17.263,17.436,0.024,1156855.0,12990.0,-45.785,11250.0,0.477
"V18",I,2455784.8325,17.277,17.45,0.024,1156855.0,12990.0,-52.27,11210.0,0.4765
"V18",I,2455784.83391,17.275,17.448,0.024,1156855.0,12990.0,-51.46,11120.0,0.4774
"V18",I,2455786.79017,17.203,17.375,0.048,1156855.0,12990.0,-17.17,24520.0,0.4858
"V18",I,2455786.79146,17.235,17.408,0.05,1156855.0,12990.0,-33.585,24445.0,0.4884
"V18",I,2455786.79287,17.232,17.406,0.05,1156855.0,12990.0,-31.88,24320.0,0.4836
"V18",I,2455786.79428,17.292,17.465,0.053,1156855.0,12990.0,-60.14,24500.0,0.4838
"V18",I,2455786.79569,17.275,17.448,0.052,1156855.0,12990.0,-52.07,24380.0,0.4841
"V18",I,2455786.7971,17.275,17.448,0.052,1156855.0,12990.0,-52.575,24720.0,0.4877
"V18",I,2455787.77391,17.164,17.337,0.051,1156855.0,12990.0,2.135,24150.0,0.4312
"V18",I,2455787.77516,17.193,17.366,0.053,1156855.0,12990.0,-11.1,24150.0,0.4315
"V18",I,2455787.77654,17.184,17.357,0.052,1156855.0,12990.0,-7.01,24150.0,0.428
"V18",I,2455787.77791,17.238,17.411,0.055,1156855.0,12990.0,-30.93,24020.0,0.4314
"V18",I,2455787.77928,17.212,17.385,0.053,1156855.0,12990.0,-19.415,23965.0,0.4339
"V18",I,2455787.78066,17.174,17.347,0.051,1156855.0,12990.0,-2.255,23860.0,0.4288
"V18",I,2455787.83181,17.142,17.315,0.047,1156855.0,12990.0,12.52,22505.0,0.4262
"V18",I,2455787.83306,17.201,17.374,0.049,1156855.0,12990.0,-14.675,22240.0,0.4284
"V18",I,2455787.8358,17.249,17.422,0.051,1156855.0,12990.0,-35.455,21830.0,0.4309
"V18",I,2455787.83854,17.25,17.423,0.051,1156855.0,12990.0,-36.1,21985.0,0.4316
"V18",I,2455788.7785,17.175,17.348,0.028,1156855.0,12990.0,-2.79,12605.0,0.4312
"V18",I,2455788.77975,17.194,17.367,0.028,1156855.0,12990.0,-11.39,12415.0,0.4277
"V18",I,2455788.78112,17.205,17.378,0.03,1156855.0,12990.0,-16.34,13395.0,0.4291
"V18",I,2455788.7825,17.244,17.417,0.029,1156855.0,12990.0,-33.28,12210.0,0.4287
"V18",I,2455788.78387,17.272,17.445,0.03,1156855.0,12990.0,-45.06,12250.0,0.428
"V18",I,2455788.78525,17.221,17.394,0.028,1156855.0,12990.0,-23.29,12285.0,0.4282
"V18",I,2455790.7581,17.127,17.3,0.033,1156855.0,12990.0,16.745,13590.0,0.367
"V18",I,2455790.75939,17.176,17.349,0.035,1156855.0,12990.0,-2.795,13700.0,0.3723
"V18",I,2455790.7608,17.179,17.352,0.03,1156855.0,12990.0,-4.41,12850.0,0.4021
"V18",I,2455790.76221,17.133,17.306,0.025,1156855.0,12990.0,16.89,11860.0,0.4347
"V18",I,2455790.76361,17.153,17.326,0.032,1156855.0,12990.0,6.36,13335.0,0.3829
"V18",I,2455790.76503,17.177,17.35,0.03,1156855.0,12990.0,-3.655,12725.0,0.4019
"V18",I,2455793.73456,17.275,17.448,0.021,1156855.0,12990.0,-50.875,9795.0,0.4703
"V18",I,2455793.73584,17.287,17.46,0.021,1156855.0,12990.0,-57.045,9740.0,0.4783
"V18",I,2455793.73725,17.284,17.457,0.02,1156855.0,12990.0,-55.6,9410.0,0.4786
"V18",I,2455793.73865,17.282,17.455,0.022,1156855.0,12990.0,-55.02,10185.0,0.4801
"V18",I,2455793.77172,17.144,17.317,0.022,1156855.0,12990.0,12.955,11215.0,0.4777
"V18",I,2455793.773,17.113,17.286,0.019,1156855.0,12990.0,29.0,10255.0,0.478
"V18",I,2455793.77442,17.133,17.306,0.019,1156855.0,12990.0,18.345,9875.0,0.4774
"V18",I,2455793.77582,17.117,17.289,0.019,1156855.0,12990.0,27.26,10235.0,0.477
"V18",I,2455793.80909,17.064,17.237,0.021,1156855.0,12990.0,55.635,11725.0,0.4749
"V18",I,2455793.81038,17.086,17.258,0.022,1156855.0,12990.0,43.755,11760.0,0.474
"V18",I,2455793.81179,17.057,17.23,0.021,1156855.0,12990.0,59.815,12000.0,0.4746
"V18",I,2455793.8132,17.114,17.287,0.022,1156855.0,12990.0,28.42,11560.0,0.4746
"V18",I,2455793.84733,17.179,17.352,0.023,1156855.0,12990.0,-5.215,11580.0,0.4704
"V18",I,2455793.84862,17.207,17.38,0.027,1156855.0,12990.0,-18.92,12750.0,0.4692
"V18",I,2455793.85003,17.164,17.337,0.024,1156855.0,12990.0,2.32,12055.0,0.47
"V18",I,2455793.85143,17.254,17.427,0.025,1156855.0,12990.0,-40.81,11610.0,0.4695
"V18",I,2455794.73083,17.112,17.285,0.033,1156855.0,12990.0,15.21,8900.0,0.2437
"V18",I,2455794.73211,17.078,17.251,0.026,1156855.0,12990.0,30.13,8905.0,0.2975
"V18",I,2455794.73351,17.105,17.278,0.028,1156855.0,12990.0,20.015,8990.0,0.2848
"V18",I,2455794.73492,17.112,17.285,0.024,1156855.0,12990.0,21.59,9190.0,0.3453
"V18",I,2455794.77532,17.247,17.42,0.02,1156855.0,12990.0,-38.205,9460.0,0.4775
"V18",I,2455794.7766,17.202,17.375,0.019,1156855.0,12990.0,-16.49,9535.0,0.4787
"V18",I,2455794.77801,17.234,17.407,0.019,1156855.0,12990.0,-32.235,9280.0,0.4771
"V18",I,2455794.77943,17.235,17.408,0.02,1156855.0,12990.0,-32.535,9355.0,0.4765
"V18",I,2455794.81569,17.235,17.408,0.029,1156855.0,12990.0,-23.31,9820.0,0.3391
"V18",I,2455794.81697,17.26,17.433,0.025,1156855.0,12990.0,-37.0,9790.0,0.3979
"V18",I,2455794.81838,17.248,17.421,0.025,1156855.0,12990.0,-31.755,9660.0,0.3896
"V18",I,2455794.8198,17.24,17.413,0.029,1156855.0,12990.0,-23.965,9585.0,0.3271
"V18",I,2455794.86074,17.116,17.288,0.026,1156855.0,12990.0,21.055,10445.0,0.3616
