Time,CRate,e_CRate
-61.3480000756681,0.2,0.14142135
-51.3480002526194,0.40000001,0.2
-41.3480004295707,0.0,0.0
-31.3479999778792,0.1,0.1
-21.3480001548305,0.40000001,0.2
-11.3480003317818,0.1,0.1
-1.34799988009036,0.40000001,0.2
8.65199994295835,0.5,0.2236068
18.6519997660071,0.0,0.0
28.6519995890558,0.40000001,0.2
38.6520000407472,0.69999999,0.26457512
48.6519998637959,0.40000001,0.2
58.6519996868446,0.1,0.1
68.6520001385361,0.40000001,0.2
78.6519999615848,0.40000001,0.2
88.6519997846335,0.40000001,0.2
98.6519996076822,0.30000001,0.17320508
108.652000059374,0.0,0.0
118.651999882422,0.0,0.0
128.651999705471,0.0,0.0
138.652000157163,0.0,0.0
148.651999980211,0.1,0.1
158.65199980326,0.0,0.0
168.651999626309,0.0,0.0
178.652000078,0.1,0.1
188.651999901049,0.2,0.14142135
198.651999724098,0.1,0.1
208.652000175789,0.0,0.0
218.651999998838,0.40000001,0.2
228.651999821886,0.1,0.1
238.651999644935,0.2,0.14142135
248.652000096627,0.2,0.14142135
258.651999919675,0.30000001,0.17320508
268.651999742724,0.1,0.1
278.651999565773,0.40000001,0.2
288.652000017464,0.2,0.14142135
298.651999840513,0.80000001,0.2828427
308.651999663562,0.5,0.2236068
318.65199948661,0.1,0.1
328.651999938302,0.30000001,0.17320508
338.65199976135,0.1,0.1
348.651999584399,0.40000001,0.2
358.652000036091,0.2,0.14142135
368.651999859139,0.2,0.14142135
378.651999682188,0.60000002,0.24494898
388.651999505237,0.40000001,0.2
398.651999956928,0.60000002,0.24494898
408.651999779977,0.69999999,0.26457512
418.651999603026,0.2,0.14142135
428.652000054717,0.0,0.0
438.651999877766,0.2,0.14142135
448.651999700814,0.5,0.2236068
458.651999523863,0.5,0.2236068
468.651999975555,0.1,0.1
478.651999798603,0.40000001,0.2
488.651999621652,0.5,0.2236068
498.652000073344,0.2,0.14142135
508.651999896392,0.40000001,0.2
518.651999719441,0.5,0.2236068
528.65199954249,0.0,0.0
538.651999994181,0.2,0.14142135
548.65199981723,0.2,0.14142135
558.651999640279,0.30000001,0.17320508
568.65200009197,0.40000001,0.2
578.651999915019,0.40000001,0.2
588.651999738067,0.60000002,0.24494898
4708.65199975669,0.1,0.1
4718.65199957974,0.0,0.0
4728.65200003143,0.0,0.0
4738.65199985448,0.0,0.0
4748.65199967753,0.1,0.1
4758.65200012922,0.0,0.0
4768.65199995227,0.0,0.0
4778.65199977532,0.1,0.1
4788.65199959837,0.0,0.0
4798.65200005006,0.0,0.0
4808.65199987311,0.0,0.0
4818.65199969616,0.0,0.0
4828.65200014785,0.0,0.0
4838.6519999709,0.0,0.0
4848.65199979395,0.0,0.0
4858.651999617,0.0,0.0
4868.65200006869,0.1,0.1
4878.65199989174,0.0,0.0
4888.65199971478,0.0,0.0
4898.65200016648,0.0,0.0
4908.65199998952,0.1,0.1
4918.65199981257,0.1,0.1
4928.65199963562,0.0,0.0
4938.65200008731,0.0,0.0
4948.65199991036,0.0,0.0
4958.65199973341,0.0,0.0
4968.65199955646,0.1,0.1
4978.65200000815,0.0,0.0
4988.6519998312,0.0,0.0
4998.65199965425,0.2,0.14142135
5008.6519994773,0.0,0.0
5018.65199992899,0.0,0.0
5028.65199975204,0.2,0.14142135
5038.65199957509,0.2,0.14142135
5048.65200002678,0.0,0.0
5058.65199984983,0.0,0.0
5068.65199967287,0.0,0.0
5078.65199949592,0.0,0.0
5088.65199994761,0.0,0.0
5098.65199977066,0.0,0.0
5108.65199959371,0.0,0.0
5118.6520000454,0.0,0.0
5128.65199986845,0.0,0.0
5138.6519996915,0.1,0.1
5148.65199951455,0.1,0.1
5158.65199996624,0.1,0.1
5168.65199978929,0.0,0.0
5178.65199961234,0.1,0.1
5188.65200006403,0.0,0.0
5198.65199988708,0.1,0.1
5208.65199971013,0.1,0.1
5218.65199953318,0.0,0.0
5228.65199998487,0.0,0.0
5238.65199980792,0.0,0.0
5248.65199963097,0.0,0.0
5258.65200008266,0.0,0.0
5268.65199990571,0.0,0.0
5278.65199972875,0.0,0.0
5288.6519995518,0.0,0.0
5298.65200000349,0.0,0.0
5308.65199982654,0.0,0.0
5318.65199964959,0.0,0.0
5328.65200010128,0.0,0.0
5338.65199992433,0.0,0.0
5348.65199974738,0.30000001,0.17320508
5358.65199957043,0.2,0.14142135
5368.65200002212,0.2,0.14142135
5378.65199984517,0.30000001,0.17320508
5388.65199966822,0.30000001,0.17320508
5398.65200011991,0.40000001,0.2
5408.65199994296,0.30000001,0.17320508
5418.65199976601,0.2,0.14142135
5428.65199958906,0.1,0.1
5438.65200004075,0.30000001,0.17320508
5448.6519998638,0.30000001,0.17320508
5458.65199968684,0.1,0.1
5468.65200013854,0.5,0.2236068
5478.65199996158,0.40000001,0.2
5488.65199978463,0.40000001,0.2
5498.65199960768,0.2,0.14142135
5508.65200005937,0.40000001,0.2
5518.65199988242,0.2,0.14142135
5528.65199970547,0.30000001,0.17320508
5538.65200015716,0.1,0.1
5548.65199998021,0.1,0.1
5558.65199980326,0.40000001,0.2
5568.65199962631,0.2,0.14142135
5578.652000078,0.30000001,0.17320508
5588.65199990105,0.30000001,0.17320508
5598.6519997241,0.5,0.2236068
5608.65200017579,0.1,0.1
5618.65199999884,0.2,0.14142135
5628.65199982189,0.2,0.14142135
5638.65199964494,0.2,0.14142135
5648.65200009663,0.2,0.14142135
5658.65199991968,0.2,0.14142135
5668.65199974272,0.40000001,0.2
5678.65199956577,0.30000001,0.17320508
5688.65200001746,0.2,0.14142135
5698.65199984051,0.2,0.14142135
5708.65199966356,0.1,0.1
5718.65199948661,0.0,0.0
5728.6519999383,0.5,0.2236068
5738.65199976135,0.1,0.1
5748.6519995844,0.80000001,0.2828427
5758.65200003609,0.40000001,0.2
5768.65199985914,0.30000001,0.17320508
5778.65199968219,0.1,0.1
5788.65199950524,0.1,0.1
5798.65199995693,0.5,0.2236068
5808.65199977998,0.2,0.14142135
5818.65199960303,0.0,0.0
5828.65200005472,0.1,0.1
