Time,Flux,e_Flux
-1969.5352963,0.4540613905,0.0221487143
-1969.0353442,0.5176628799,0.0219877554
-1968.5353922,0.5479237236,0.0214969744
-1968.0354408,0.4735684689,0.0211949598
-1967.5354875,0.5098565223,0.0217545038
-1967.0355349,0.4435216633,0.0206338298
-1966.5355835,0.4488930483,0.0207808123
-1966.0356302,0.4953516878,0.0218529869
-1965.5356788,0.4795589403,0.0208506972
-1965.0357261,0.5265864286,0.0217470068
-1964.5357729,0.5472388124,0.0218526125
-1964.0358215,0.5297866864,0.0216849797
-1963.5358694,0.5556419285,0.0225211376
-1963.0359155,0.4875013887,0.0212483927
-1962.5359641,0.5296163969,0.0215883427
-1962.0360121,0.4861847271,0.0210583589
-1961.5360595,0.4991397234,0.021665025
-1961.0361074,0.4761310768,0.0218867071
-1960.5361554,0.4198940654,0.0202629077
-1960.036204,0.4758346528,0.0211078974
-1959.5362507,0.4639676146,0.0209941545
-1959.0362981,0.4724251111,0.0211299174
-1958.536346,0.4990879916,0.0213720345
-1958.0363934,0.5043538058,0.0216220355
-1957.536442,0.542150623,0.0217577432
-1957.0364887,0.4660474234,0.0198517695
-1956.5365361,0.4425180876,0.0209678445
-1956.0365847,0.4366373288,0.0196337219
-1955.5366314,0.4951541916,0.0213038517
-1955.0366787,0.4448368653,0.0202669001
-1954.5367273,0.4575823028,0.0208121852
-1954.0367753,0.4621827989,0.0209449522
-1953.5368226,0.4917638539,0.0210783378
-1953.0368706,0.4553442488,0.0203387313
-1952.5369186,0.4914343873,0.0208480421
-1952.0369653,0.4371980223,0.0197034698
-1951.5370133,0.4640585035,0.0205342102
-1951.0370613,0.4277487487,0.0212140485
-1950.5371092,0.4665270311,0.0198737003
-1950.0371566,0.4471442274,0.0207924641
-1949.5372052,0.4585362599,0.0206187083
-1949.0372519,0.4932264438,0.0211171464
-1948.5372992,0.4774674812,0.0211704178
-1948.0373478,0.4728115991,0.0211661112
-1947.5373946,0.4836436204,0.0218512291
-1947.0374432,0.4536675152,0.0205766973
-1946.5374899,0.4849738471,0.0212398971
-1946.0375385,0.4141866119,0.0207555642
-1945.5375858,0.4371623099,0.0204444139
-1945.0376338,0.4322876909,0.0206181383
-1944.5376812,0.4342277779,0.0203492619
-1944.0377285,0.4055466173,0.0199335855
-1943.5377765,0.4117153921,0.0201353266
-1943.0378244,0.4910460472,0.0210495588
-1942.5378724,0.4883160862,0.0209102504
-1942.0379198,0.5989377405,0.0231308343
-1941.5379677,0.5683041833,0.0226934485
-1941.0380151,0.4619396893,0.0206355389
-1940.5380624,0.4702937072,0.0214128231
-1940.0381104,0.4410415792,0.02045822
-1939.538159,0.4352312841,0.0194973741
-1939.0382064,0.4610171195,0.0207603732
-1938.5382531,0.5009242372,0.0214850824
-1938.0383017,0.4466653211,0.0214533284
-1937.538349,0.454775063,0.019973001
-1937.0383957,0.484291474,0.0211431449
-1936.5384443,0.4968930307,0.0212088737
-1936.0384917,0.4691623767,0.0208854087
-1935.5385397,0.4210230659,0.020505346
-1935.0385876,0.4285411241,0.0204584194
-1934.5386356,0.5122765578,0.0209649888
-1934.038683,0.4892550369,0.0205228807
-1933.5387303,0.5562919126,0.021561312
-1933.0387783,0.4949054759,0.0211168272
-1932.5388256,0.4508605304,0.0198912855
-1932.0388736,0.4506150644,0.0206923796
-1931.5389222,0.477438544,0.0203721309
-1931.0389689,0.446434295,0.0207254512
-1930.5390163,0.4782196224,0.0217692099
-1930.0390649,0.4786322915,0.0211795252
-1929.5391116,0.4442593512,0.0212501845
-1925.422505,0.4753350385,0.0212370199
-1924.9225523,0.4478226392,0.0210334356
-1924.4226009,0.4722073061,0.0201249547
-1923.9226476,0.4517084152,0.0208650833
-1923.422695,0.4339505805,0.0205339518
-1922.9227436,0.4175365665,0.0212193561
-1922.4227903,0.4817759199,0.0205807955
-1921.9228389,0.3980209586,0.0197399961
-1921.4228862,0.5107879855,0.0212285231
-1920.9229342,0.4651154242,0.0209494606
-1920.4229816,0.4974157412,0.0209969119
-1919.9230295,0.4841944959,0.0210931697
-1919.4230769,0.4798749657,0.0211945414
-1918.9231249,0.4931865879,0.0214366941
-1918.4231722,0.5086800602,0.021862707
-1917.9232202,0.5251798887,0.0225071244
-1917.4232681,0.5086979327,0.0215347754
-1916.9233155,0.5247888516,0.0217401241
-1916.4233635,0.5210775051,0.0216506363
-1915.9234108,0.5377319084,0.0222327254
-1915.4234582,0.5727995081,0.0220672701
-1914.9235061,0.5183112299,0.0217089239
-1914.4235535,0.5304679265,0.0220311156
-1913.9236021,0.5489228036,0.0222156157
-1913.4236488,0.4974760388,0.0214037433
-1912.9236974,0.4659970748,0.0219161772
-1912.4237447,0.5109140742,0.021021127
-1911.9237915,0.4747283543,0.0205790753
-1911.4238401,0.511332499,0.022214041
-1910.9238874,0.4915785827,0.0212117274
-1910.4239354,0.4870280241,0.0214505535
-1909.9239834,0.4697083099,0.0214865223
-1909.4240313,0.4953268877,0.0216511277
-1908.9240787,0.4838573502,0.0218593017
-1908.424126,0.4339433384,0.0209691173
-1907.924174,0.4885031313,0.0220301432
-1907.4242213,0.485085468,0.021530987
-1906.9242693,0.488422041,0.0216741972
-1906.4243179,0.4461563593,0.0206635528
-1905.9243646,0.487594318,0.0213802449
-1905.424412,0.5032528067,0.0213281623
-1904.9244606,0.5647169686,0.0222120038
-1904.4245073,0.5274057538,0.0222604886
-1903.9245547,0.5815981862,0.0233600211
-1903.4246033,0.5328729803,0.0229174281
-1902.92465,0.5261079215,0.0222742172
-1902.4246986,0.4855607831,0.0209274242
-1901.9247465,0.4652596618,0.0209292278
-1901.4247945,0.4430937274,0.0206288733
-1900.9248412,0.4395499204,0.0209114324
-1900.4248892,0.4677464934,0.020978368
-1899.9249372,0.4840065497,0.022372297
-1899.4249845,0.5216655196,0.0223727916
-1898.9250325,0.4772159126,0.0210520819
-1898.4250811,0.5071667445,0.0220385565
-1897.9251278,0.4857386663,0.0217661084
-1897.4251764,0.4621576297,0.0222668925
-1896.9252238,0.513675611,0.0225468284
-1896.4252705,0.4652903129,0.0223846579
-1895.9253191,0.4756361646,0.022863224
-1895.4253658,0.4477254918,0.0217843484
-1894.9254132,0.4430454694,0.0215966615
